@relation averageNoOfFingers

@attribute fingers NUMERIC
@attribute grade {1,2,3,4,5,6,7,8}

@data
1.3076923076923077, 1
1.0909090909090908, 1
1.1428571428571428, 1
1.3076923076923077, 1
1.0909090909090908, 1
1.1379310344827587, 1
1.1666666666666667, 2
1.2592592592592593, 2
1.206896551724138, 2
1.4864864864864864, 2
1.173913043478261, 2
1.2258064516129032, 2
1.0363636363636364, 3
1.2380952380952381, 3
1.32, 3
1.5777777777777777, 3
1.8695652173913044, 3
1.2828282828282829, 3
1.2417582417582418, 3
1.6388888888888888, 3
1.8, 3
1.2820512820512822, 3
1.3333333333333333, 3
1.6666666666666667, 3
1.1756756756756757, 3
1.5660377358490567, 3
1.5, 3
1.5344827586206897, 3
1.1627906976744187, 3
1.2363636363636363, 3
1.6444444444444444, 3
1.1844660194174756, 3
1.3227848101265822, 3
1.338235294117647, 3
1.1204819277108433, 3
1.7954545454545454, 3
1.2413793103448276, 4
1.1849315068493151, 4
1.3623188405797102, 4
1.6311475409836065, 4
1.2428571428571429, 4
1.5942028985507246, 4
1.6944444444444444, 4
1.1470588235294117, 4
1.619047619047619, 4
1.3548387096774193, 4
1.6481481481481481, 4
1.547945205479452, 4
1.25, 4
1.6129032258064515, 4
1.9285714285714286, 4
1.3548387096774193, 4
1.2512396694214876, 5
1.2243243243243243, 5
2.03, 5
1.4076433121019107, 5
1.3076923076923077, 5
1.3443396226415094, 5
1.6265060240963856, 5
1.3268482490272373, 5
1.4272727272727272, 5
1.6625, 5
1.3529411764705883, 5
1.3650793650793651, 5
1.3010752688172043, 5
1.4385964912280702, 5
1.9306930693069306, 5
1.2741935483870968, 6
1.4111675126903553, 6
1.534375, 6
1.2720588235294117, 6
1.4690721649484537, 6
1.5027027027027027, 6
1.3202614379084967, 6
1.333913043478261, 6
1.2371794871794872, 6
1.6867469879518073, 6
1.7918367346938775, 6
1.4579439252336448, 6
1.6115702479338843, 6
1.3155080213903743, 6
1.2559726962457338, 6
1.2228260869565217, 6
1.3206521739130435, 6
1.8955223880597014, 6
1.25, 6
1.3723958333333333, 6
1.275256222547584, 6
1.458762886597938, 6
2.0642201834862384, 6
1.4142394822006472, 6
1.826086956521739, 6
1.2525399129172714, 6
1.2028301886792452, 6
1.1283783783783783, 6
1.2741433021806854, 7
1.3008021390374331, 7
1.511265164644714, 7
1.3716216216216217, 7
1.4125269978401729, 7
1.3784722222222223, 7
1.2371794871794872, 7
1.257617728531856, 7
1.3103448275862069, 7
1.5190217391304348, 7
1.5190615835777126, 7
1.5701754385964912, 7
1.2225913621262459, 7
1.4502369668246446, 7
1.2406417112299466, 7
1.3586206896551725, 7
1.476063829787234, 7
1.2246376811594204, 7
1.2267573696145124, 7
1.4775725593667546, 8
1.4368932038834952, 8
1.3166904422253922, 8
1.1018099547511313, 8
1.1919642857142858, 8
1.5137614678899083, 8
1.4750402576489532, 8
1.3767660910518054, 8
1.4748858447488584, 8
1.225, 8
