@relation chordStretch

@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute 3 NUMERIC
@attribute 4 NUMERIC
@attribute 5 NUMERIC
@attribute grade {1,2,3,4,5,6,7,8}

@data
0.6931471805599453, 2.0794415416798357, 0, 0, 0, 0, 1
0, 1.3862943611198906, 0, 0, 0, 0, 1
0, 0.6931471805599453, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1
0, 1.0986122886681098, 1.0986122886681098, 0, 0, 0, 1
1.9459101490553132, 2.3978952727983707, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 2
1.6094379124341003, 1.6094379124341003, 0, 0, 0, 0, 2
0, 0, 0, 0, 0, 0, 2
0, 2.0794415416798357, 0, 0, 0, 0, 2
0.6931471805599453, 1.791759469228055, 0.6931471805599453, 0, 0, 0, 2
1.3862943611198906, 2.0794415416798357, 0.6931471805599453, 0, 0, 0, 2
1.0986122886681098, 1.6094379124341003, 0, 0, 0, 0, 2
0, 1.0986122886681098, 0, 0, 0, 0, 2
0, 1.0986122886681098, 0, 0, 0, 0, 2
2.6390573296152584, 2.1972245773362196, 0, 0, 0, 0, 2
2.1972245773362196, 1.0986122886681098, 0, 0, 0, 0, 2
0, 2.6390573296152584, 0, 0, 0, 0, 2
1.6094379124341003, 1.0986122886681098, 0, 0, 0, 0, 2
0, 1.0986122886681098, 1.0986122886681098, 1.791759469228055, 0, 0, 2
1.6094379124341003, 1.0986122886681098, 0, 0, 0, 0, 2
1.3862943611198906, 1.6094379124341003, 0, 0, 0, 0, 2
1.9459101490553132, 2.3978952727983707, 1.0986122886681098, 0, 0, 0, 2
0, 1.0986122886681098, 1.6094379124341003, 0, 0, 0, 2
0, 1.3862943611198906, 1.791759469228055, 0, 0, 0, 2
1.0986122886681098, 1.3862943611198906, 2.5649493574615367, 0, 0, 0, 2
1.3862943611198906, 2.8903717578961645, 0, 0, 0, 0, 3
1.791759469228055, 1.6094379124341003, 0, 0, 0, 0, 3
0, 1.0986122886681098, 0, 0, 0, 0, 3
0, 1.791759469228055, 0, 0, 0, 0, 3
1.0986122886681098, 2.1972245773362196, 0, 0, 0, 0, 3
1.3862943611198906, 1.3862943611198906, 1.0986122886681098, 0, 0, 0, 3
2.1972245773362196, 2.4849066497880004, 0, 0, 0, 0, 3
0, 3.2188758248682006, 0.6931471805599453, 0, 0, 0, 3
0.6931471805599453, 2.3978952727983707, 0, 0, 0, 0, 3
2.3978952727983707, 3.258096538021482, 0.6931471805599453, 0, 0, 0, 3
1.791759469228055, 2.833213344056216, 0, 0, 0, 0, 3
1.6094379124341003, 2.995732273553991, 0, 0, 0, 0, 3
2.3978952727983707, 2.1972245773362196, 0.6931471805599453, 0, 0, 0, 3
2.1972245773362196, 2.6390573296152584, 0, 0, 0, 0, 3
1.0986122886681098, 2.1972245773362196, 0, 0, 0, 0, 3
0, 2.772588722239781, 1.6094379124341003, 0, 0, 0, 3
1.6094379124341003, 2.6390573296152584, 1.3862943611198906, 0, 0, 0, 3
0.6931471805599453, 2.70805020110221, 2.0794415416798357, 0, 0, 0, 3
0, 1.791759469228055, 1.3862943611198906, 0, 0, 0, 3
1.0986122886681098, 1.3862943611198906, 2.4849066497880004, 0, 0, 0, 3
0, 2.5649493574615367, 1.9459101490553132, 0, 0, 0, 3
2.5649493574615367, 0.6931471805599453, 2.1972245773362196, 0, 0, 0, 3
1.0986122886681098, 2.0794415416798357, 2.0794415416798357, 0, 0, 0, 3
2.0794415416798357, 2.0794415416798357, 0, 0, 0, 0, 3
0, 1.6094379124341003, 1.791759469228055, 0, 0, 0, 3
0.6931471805599453, 0, 1.3862943611198906, 0, 0, 0, 3
0, 1.0986122886681098, 3.044522437723423, 0, 0, 0, 3
1.0986122886681098, 2.70805020110221, 0, 0, 0, 0, 3
1.9459101490553132, 2.70805020110221, 0, 0, 0, 0, 3
2.1972245773362196, 2.8903717578961645, 1.9459101490553132, 0, 0, 0, 3
1.3862943611198906, 1.3862943611198906, 2.0794415416798357, 0, 0, 0, 3
1.3862943611198906, 2.1972245773362196, 2.0794415416798357, 0.6931471805599453, 0, 0, 3
2.1972245773362196, 2.0794415416798357, 2.0794415416798357, 0, 0, 0, 3
2.4849066497880004, 3.091042453358316, 1.6094379124341003, 0, 0, 0, 3
